name;birth_year;start_year;invitees;status
cohort1;1938;2014;39489;invited
cohort2;1938;2014;14384;invited
cohort3;1939;2014;18257;invited
cohort4;1939;2014;36807;invited
cohort5;1947;2014;10938;invited
cohort6;1947;2014;83617;invited
cohort7;1949;2014;18690;invited
cohort8;1949;2014;60077;invited
cohort9;1951;2014;1753;invited
cohort10;1951;2014;58527;invited
cohort11;1954;2014;19144;invited
cohort12;1938;2015;433;postponed
cohort13;1939;2015;2278;postponed
cohort14;1940;2015;51078;invited
cohort15;1946;2015;97208;invited
cohort16;1947;2015;12711;postponed
cohort17;1948;2015;91073;invited
cohort18;1949;2015;23398;postponed
cohort19;1950;2015;88983;invited
cohort20;1951;2015;41043;postponed
cohort21;1952;2015;93339;invited
cohort22;1954;2015;75570;invited
cohort23;1940;2016;9187;postponed
cohort24;1941;2016;56903;invited
cohort25;1945;2016;72060;invited
cohort26;1946;2016;11989;postponed
cohort27;1948;2016;12033;postponed
cohort28;1950;2016;12237;postponed
cohort29;1952;2016;12249;postponed
cohort30;1953;2016;100495;invited
cohort31;1954;2016;11933;postponed
cohort32;1955;2016;104390;invited
cohort33;1957;2016;109847;invited
cohort34;1941;2017;3222;postponed
cohort35;1942;2017;65777;planned
cohort36;1944;2017;78719;planned
cohort37;1945;2017;3968;postponed
cohort38;1953;2017;4471;postponed
cohort39;1955;2017;4596;postponed
cohort40;1956;2017;111611;planned
cohort41;1957;2017;4539;postponed
cohort42;1958;2017;116824;planned
cohort43;1960;2017;121742;planned
cohort44;1943;2018;72872;planned
cohort45;1959;2018;120605;planned
cohort46;1961;2018;125564;planned
cohort47;1963;2018;129347;planned
cohort48;1962;2019;126666;planned
cohort49;1964;2019;132212;planned
cohort50;1965;2020;129818;planned
cohort51;1966;2021;128143;planned
cohort52;1967;2022;127127;planned
cohort53;1968;2023;128430;planned
cohort54;1969;2024;133466;planned
cohort55;1970;2025;130816;planned
cohort56;1971;2026;124878;planned
cohort57;1972;2027;118961;planned
cohort58;1973;2028;108985;planned
cohort59;1974;2029;105351;planned
cohort60;1975;2030;100816;planned
cohort61;1976;2031;99923;planned
cohort62;1977;2032;99493;planned
cohort63;1978;2033;100313;planned
cohort64;1979;2034;100309;planned
cohort65;1980;2035;103863;planned
cohort66;1981;2036;102587;planned
cohort67;1982;2037;100069;planned
cohort68;1983;2038;100361;planned
cohort69;1984;2039;102957;planned
cohort70;1985;2040;104953;planned
cohort71;1986;2041;106758;planned
cohort72;1987;2042;106612;planned
cohort73;1988;2043;107164;planned
cohort74;1989;2044;107735;planned
cohort75;1990;2045;111082;planned
cohort76;1991;2046;111146;planned
cohort77;1992;2047;109492;planned
cohort78;1993;2048;108112;planned
cohort79;1994;2049;107831;planned
cohort80;1995;2050;104663;planned
cohort81;1996;2051;103180;planned
cohort82;1997;2052;102801;planned
cohort83;1998;2053;103871;planned
cohort84;1999;2054;104671;planned
cohort85;2000;2055;106856;planned
cohort86;2001;2056;104312;planned
cohort87;2002;2057;103600;planned
cohort88;2003;2058;103254;planned
cohort89;2004;2059;99811;planned
cohort90;2005;2060;96577;planned
cohort91;2006;2061;95610;planned
cohort92;2007;2062;94217;planned
cohort93;2008;2063;95533;planned
cohort94;2009;2064;95688;planned
cohort95;2010;2065;95127;planned
cohort96;2011;2066;92408;planned
cohort97;2012;2067;90906;planned
cohort98;2013;2068;88266;planned
